District,Education,Sex,Count
Nandurbar,Illiterate,Male,147447
Nandurbar,Literate,Male,248658
Nandurbar,Literate but below matric/secondary,Male,116851
Nandurbar,Matric/secondary but below graduate,Male,69886
Nandurbar,Technical diploma or certificate not equal to degree,Male,3566
Nandurbar,Graduate and above other than technical degree,Male,17201
Nandurbar,Technical degree or diploma equal to degree or post-graduate degree,Male,6451
Nandurbar,Illiterate,Female,169666
Nandurbar,Literate,Female,98299
Nandurbar,Literate but below matric/secondary,Female,53301
Nandurbar,Matric/secondary but below graduate,Female,17895
Nandurbar,Technical diploma or certificate not equal to degree,Female,357
Nandurbar,Graduate and above other than technical degree,Female,2683
Nandurbar,Technical degree or diploma equal to degree or post-graduate degree,Female,1658
Dhule,Illiterate,Male,134169
Dhule,Literate,Male,391740
Dhule,Literate but below matric/secondary,Male,178828
Dhule,Matric/secondary but below graduate,Male,129945
Dhule,Technical diploma or certificate not equal to degree,Male,6902
Dhule,Graduate and above other than technical degree,Male,33222
Dhule,Technical degree or diploma equal to degree or post-graduate degree,Male,12316
Dhule,Illiterate,Female,157134
Dhule,Literate,Female,142254
Dhule,Literate but below matric/secondary,Female,86226
Dhule,Matric/secondary but below graduate,Female,28965
Dhule,Technical diploma or certificate not equal to degree,Female,618
Dhule,Graduate and above other than technical degree,Female,5722
Dhule,Technical degree or diploma equal to degree or post-graduate degree,Female,3840
Jalgaon,Illiterate,Male,187486
Jalgaon,Literate,Male,895904
Jalgaon,Literate but below matric/secondary,Male,439272
Jalgaon,Matric/secondary but below graduate,Male,289187
Jalgaon,Technical diploma or certificate not equal to degree,Male,18847
Jalgaon,Graduate and above other than technical degree,Male,71807
Jalgaon,Technical degree or diploma equal to degree or post-graduate degree,Male,23854
Jalgaon,Illiterate,Female,239190
Jalgaon,Literate,Female,321965
Jalgaon,Literate but below matric/secondary,Female,209250
Jalgaon,Matric/secondary but below graduate,Female,64953
Jalgaon,Technical diploma or certificate not equal to degree,Female,1368
Jalgaon,Graduate and above other than technical degree,Female,11673
Jalgaon,Technical degree or diploma equal to degree or post-graduate degree,Female,6534
Buldana,Illiterate,Male,74515
Buldana,Literate,Male,608347
Buldana,Literate but below matric/secondary,Male,313112
Buldana,Matric/secondary but below graduate,Male,172877
Buldana,Technical diploma or certificate not equal to degree,Male,4298
Buldana,Graduate and above other than technical degree,Male,35527
Buldana,Technical degree or diploma equal to degree or post-graduate degree,Male,14313
Buldana,Illiterate,Female,138864
Buldana,Literate,Female,286140
Buldana,Literate but below matric/secondary,Female,181686
Buldana,Matric/secondary but below graduate,Female,46625
Buldana,Technical diploma or certificate not equal to degree,Female,339
Buldana,Graduate and above other than technical degree,Female,5267
Buldana,Technical degree or diploma equal to degree or post-graduate degree,Female,3050
Akola,Illiterate,Male,41193
Akola,Literate,Male,439892
Akola,Literate but below matric/secondary,Male,210775
Akola,Matric/secondary but below graduate,Male,141849
Akola,Technical diploma or certificate not equal to degree,Male,3372
Akola,Graduate and above other than technical degree,Male,33494
Akola,Technical degree or diploma equal to degree or post-graduate degree,Male,11010
Akola,Illiterate,Female,54306
Akola,Literate,Female,156160
Akola,Literate but below matric/secondary,Female,90615
Akola,Matric/secondary but below graduate,Female,33839
Akola,Technical diploma or certificate not equal to degree,Female,357
Akola,Graduate and above other than technical degree,Female,6706
Akola,Technical degree or diploma equal to degree or post-graduate degree,Female,3643
Washim,Illiterate,Male,34542
Washim,Literate,Male,274614
Washim,Literate but below matric/secondary,Male,139695
Washim,Matric/secondary but below graduate,Male,88780
Washim,Technical diploma or certificate not equal to degree,Male,1624
Washim,Graduate and above other than technical degree,Male,16100
Washim,Technical degree or diploma equal to degree or post-graduate degree,Male,6209
Washim,Illiterate,Female,65821
Washim,Literate,Female,127546
Washim,Literate but below matric/secondary,Female,80270
Washim,Matric/secondary but below graduate,Female,23930
Washim,Technical diploma or certificate not equal to degree,Female,180
Washim,Graduate and above other than technical degree,Female,2079
Washim,Technical degree or diploma equal to degree or post-graduate degree,Female,1067
Amravati,Illiterate,Male,72436
Amravati,Literate,Male,681524
Amravati,Literate but below matric/secondary,Male,368147
Amravati,Matric/secondary but below graduate,Male,212387
Amravati,Technical diploma or certificate not equal to degree,Male,6016
Amravati,Graduate and above other than technical degree,Male,59584
Amravati,Technical degree or diploma equal to degree or post-graduate degree,Male,18110
Amravati,Illiterate,Female,83722
Amravati,Literate,Female,223652
Amravati,Literate but below matric/secondary,Female,146298
Amravati,Matric/secondary but below graduate,Female,49529
Amravati,Technical diploma or certificate not equal to degree,Female,679
Amravati,Graduate and above other than technical degree,Female,12188
Amravati,Technical degree or diploma equal to degree or post-graduate degree,Female,6143
Wardha,Illiterate,Male,30950
Wardha,Literate,Male,327378
Wardha,Literate but below matric/secondary,Male,176597
Wardha,Matric/secondary but below graduate,Male,103515
Wardha,Technical diploma or certificate not equal to degree,Male,3648
Wardha,Graduate and above other than technical degree,Male,29306
Wardha,Technical degree or diploma equal to degree or post-graduate degree,Male,7916
Wardha,Illiterate,Female,44914
Wardha,Literate,Female,127056
Wardha,Literate but below matric/secondary,Female,85729
Wardha,Matric/secondary but below graduate,Female,29062
Wardha,Technical diploma or certificate not equal to degree,Female,479
Wardha,Graduate and above other than technical degree,Female,5813
Wardha,Technical degree or diploma equal to degree or post-graduate degree,Female,2734
Nagpur,Illiterate,Male,102532
Nagpur,Literate,Male,1121504
Nagpur,Literate but below matric/secondary,Male,494509
Nagpur,Matric/secondary but below graduate,Male,366747
Nagpur,Technical diploma or certificate not equal to degree,Male,19171
Nagpur,Graduate and above other than technical degree,Male,153189
Nagpur,Technical degree or diploma equal to degree or post-graduate degree,Male,41850
Nagpur,Illiterate,Female,102178
Nagpur,Literate,Female,328466
Nagpur,Literate but below matric/secondary,Female,172553
Nagpur,Matric/secondary but below graduate,Female,72867
Nagpur,Technical diploma or certificate not equal to degree,Female,2387
Nagpur,Graduate and above other than technical degree,Female,42331
