District,Education,Total,Male,Female
Nandurbar,Illiterate,317113,147447,169666
Nandurbar,Literate,346957,248658,98299
Nandurbar,Literate but below matric/secondary,170152,116851,53301
Nandurbar,Matric/secondary but below graduate,87781,69886,17895
Nandurbar,Technical diploma or certificate not equal to degree,3923,3566,357
Nandurbar,Graduate and above other than technical degree,19884,17201,2683
Nandurbar,Technical degree or diploma equal to degree or post-graduate degree,8109,6451,1658
Dhule,Illiterate,291303,134169,157134
Dhule,Literate,533994,391740,142254
Dhule,Literate but below matric/secondary,265054,178828,86226
Dhule,Matric/secondary but below graduate,158910,129945,28965
Dhule,Technical diploma or certificate not equal to degree,7520,6902,618
Dhule,Graduate and above other than technical degree,38944,33222,5722
Dhule,Technical degree or diploma equal to degree or post-graduate degree,16156,12316,3840
Jalgaon,Illiterate,426676,187486,239190
Jalgaon,Literate,1217869,895904,321965
Jalgaon,Literate but below matric/secondary,648522,439272,209250
Jalgaon,Matric/secondary but below graduate,354140,289187,64953
Jalgaon,Technical diploma or certificate not equal to degree,20215,18847,1368
Jalgaon,Graduate and above other than technical degree,83480,71807,11673
Jalgaon,Technical degree or diploma equal to degree or post-graduate degree,30388,23854,6534
Buldana,Illiterate,213379,74515,138864
Buldana,Literate,894487,608347,286140
Buldana,Literate but below matric/secondary,494798,313112,181686
Buldana,Matric/secondary but below graduate,219502,172877,46625
Buldana,Technical diploma or certificate not equal to degree,4637,4298,339
Buldana,Graduate and above other than technical degree,40794,35527,5267
Buldana,Technical degree or diploma equal to degree or post-graduate degree,17363,14313,3050
Akola,Illiterate,95499,41193,54306
Akola,Literate,596052,439892,156160
Akola,Literate but below matric/secondary,301390,210775,90615
Akola,Matric/secondary but below graduate,175688,141849,33839
Akola,Technical diploma or certificate not equal to degree,3729,3372,357
Akola,Graduate and above other than technical degree,40200,33494,6706
Akola,Technical degree or diploma equal to degree or post-graduate degree,14653,11010,3643
Washim,Illiterate,100363,34542,65821
Washim,Literate,402160,274614,127546
Washim,Literate but below matric/secondary,219965,139695,80270
Washim,Matric/secondary but below graduate,112710,88780,23930
Washim,Technical diploma or certificate not equal to degree,1804,1624,180
Washim,Graduate and above other than technical degree,18179,16100,2079
Washim,Technical degree or diploma equal to degree or post-graduate degree,7276,6209,1067
Amravati,Illiterate,156158,72436,83722
Amravati,Literate,905176,681524,223652
Amravati,Literate but below matric/secondary,514445,368147,146298
Amravati,Matric/secondary but below graduate,261916,212387,49529
Amravati,Technical diploma or certificate not equal to degree,6695,6016,679
Amravati,Graduate and above other than technical degree,71772,59584,12188
