Year,City,State,School,Fatalities,Presidency
1990,Brooklyn,New York,C,0,Republican
1990,Centerville,Tennessee,HS,1,Republican
1990,Las Vegas,Nevada,HS,1,Republican
1990,San Antonio,Texas,HS,0,Republican
1991,Richardson,Texas,HS,0,Republican
1991,Donna,Texas,HS,1,Republican
1991,Compton,California,MS,1,Republican
1991,Compton,California,MS,1,Republican
1991,Crosby,Texas,HS,1,Republican
1991,Crosby,Texas,HS,1,Republican
1991,Bronx,New York,HS,1,Republican
1991,Iowa City,Iowa,C,5,Republican
1991,Iowa City,Iowa,C,6,Republican
1991,Houston,Texas,HS,0,Republican
1991,Brooklyn,New York,HS,1,Republican
1991,Brooklyn,New York,HS,1,Republican
1992,Kent,Ohio,C,1,Republican
1992,Kent,Ohio,C,0,Republican
1992,Brooklyn,New York,HS,2,Republican
1992,Brooklyn,New York,HS,2,Republican
1992,Olivehurst,California,HS,4,Republican
1992,Olivehurst,California,HS,3,Republican
1992,Napa,California,MS,0,Republican
1992,Lincoln,Texas,HS,0,Republican
1992,Lincoln,Nebraska,C,0,Republican
1992,Tucson,Arizona,HS,1,Republican
1992,The Bronx,New York,HS,0,Republican
1992,Detroit,Michigan,HS,0,Republican
1992,Chicago,Illinois,ES,0,Republican
1992,Houston,Texas,HS,1,Republican
1992,Birmingham,Alabama,HS,1,Republican
1992,Chicago,Illinois,HS,1,Republican
1992,Buffalo,New York,HS,0,Republican
1992,Chicago,Illinois,ES,1,Republican
1992,Great Barrington,Massachusetts,C,2,Republican
1992,Great Barrington,Massachusetts,C,2,Republican
1993,Brentwood,New York,HS,0,Republican
1993,Kinzers,Pennsylvania,HS,1,Republican
1993,Miami,Florida,HS,1,Republican
1993,Grayson,Kentucky,HS,2,Republican
1993,Grayson,Kentucky,HS,2,Republican
1993,Los Angeles,California,HS,1,Republican
1993,Redmond,Washington,MS,1,Republican
1993,Amityville,New York,HS,1,Republican
1993,Clayton County,Georgia,HS,1,Republican
1993,Middle River,Minnesota,MS,1,Republican
1993,Washington DC,District of Columbia,HS,1,Republican
1993,Dallas,Texas,HS,1,Republican
1993,Los Angeles,California,HS,1,Republican
1993,Los Angeles,California,HS,1,Republican
1993,Gloucester,Massachusetts,HS,0,Republican
1993,Harlem,Georgia,HS,1,Republican
1993,St. Louis,Missouri,HS,1,Republican
