Regions,Qualifications,Qualification,Sex,Hours ,Age,Observation
North East,-8,Does not apply,Female,Does not apply,Aged 15 years and under,227922
North East,-8,Does not apply,Female,Does not apply,Aged 16 to 24 years,0
North East,-8,Does not apply,Female,Does not apply,Aged 25 to 34 years,0
North East,-8,Does not apply,Female,Does not apply,Aged 35 to 49 years,0
North East,-8,Does not apply,Female,Does not apply,Aged 50 to 64 years,0
North East,-8,Does not apply,Female,Does not apply,Aged 65 years and over,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 50 to 64 years,0
North East,-8,Does not apply,Female,Part-time: 15 hours or less worked,Aged 65 years and over,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,0
North East,-8,Does not apply,Female,Part-time: 16 to 30 hours worked,Aged 65 years and over,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 15 years and under,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 50 to 64 years,0
North East,-8,Does not apply,Female,Full-time: 31 to 48 hours worked,Aged 65 years and over,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 15 years and under,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 50 to 64 years,0
North East,-8,Does not apply,Female,Full-time: 49 or more hours worked,Aged 65 years and over,0
North East,-8,Does not apply,Male,Does not apply,Aged 15 years and under,240131
North East,-8,Does not apply,Male,Does not apply,Aged 16 to 24 years,0
North East,-8,Does not apply,Male,Does not apply,Aged 25 to 34 years,0
North East,-8,Does not apply,Male,Does not apply,Aged 35 to 49 years,0
North East,-8,Does not apply,Male,Does not apply,Aged 50 to 64 years,0
North East,-8,Does not apply,Male,Does not apply,Aged 65 years and over,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 15 years and under,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 50 to 64 years,0
North East,-8,Does not apply,Male,Part-time: 15 hours or less worked,Aged 65 years and over,0
North East,-8,Does not apply,Male,Part-time: 16 to 30 hours worked,Aged 15 years and under,0
North East,-8,Does not apply,Male,Part-time: 16 to 30 hours worked,Aged 16 to 24 years,0
North East,-8,Does not apply,Male,Part-time: 16 to 30 hours worked,Aged 25 to 34 years,0
North East,-8,Does not apply,Male,Part-time: 16 to 30 hours worked,Aged 35 to 49 years,0
North East,-8,Does not apply,Male,Part-time: 16 to 30 hours worked,Aged 50 to 64 years,0
