Qualification,Sex,Hours ,Age,Observation
Level 0,Female,Part-time: 15 hours or less worked,16-24,1564
Level 0,Female,Part-time: 15 hours or less worked,25-34,5258
Level 0,Female,Part-time: 15 hours or less worked,35-49,11086
Level 0,Female,Part-time: 15 hours or less worked,50-64,11682
Level 0,Female,Part-time: 15 hours or less worked,65>,4129
Level 0,Female,Part-time: 16 to 30 hours worked,16-24,2158
Level 0,Female,Part-time: 16 to 30 hours worked,25-34,8647
Level 0,Female,Part-time: 16 to 30 hours worked,35-49,19907
Level 0,Female,Part-time: 16 to 30 hours worked,50-64,20007
Level 0,Female,Part-time: 16 to 30 hours worked,65>,4235
Level 0,Female,Full-time: 31 to 48 hours worked,16-24,3337
Level 0,Female,Full-time: 31 to 48 hours worked,25-34,11147
Level 0,Female,Full-time: 31 to 48 hours worked,35-49,17251
Level 0,Female,Full-time: 31 to 48 hours worked,50-64,21673
Level 0,Female,Full-time: 31 to 48 hours worked,65>,3523
Level 0,Female,Full-time: 49 or more hours worked,16-24,395
Level 0,Female,Full-time: 49 or more hours worked,25-34,1216
Level 0,Female,Full-time: 49 or more hours worked,35-49,2073
Level 0,Female,Full-time: 49 or more hours worked,50-64,2170
Level 0,Female,Full-time: 49 or more hours worked,65>,385
Level 0,Male,Part-time: 15 hours or less worked,16-24,1456
Level 0,Male,Part-time: 15 hours or less worked,25-34,3643
Level 0,Male,Part-time: 15 hours or less worked,35-49,7828
Level 0,Male,Part-time: 15 hours or less worked,50-64,9019
Level 0,Male,Part-time: 15 hours or less worked,65>,3236
Level 0,Male,Part-time: 16 to 30 hours worked,16-24,2106
Level 0,Male,Part-time: 16 to 30 hours worked,25-34,7775
Level 0,Male,Part-time: 16 to 30 hours worked,35-49,22308
Level 0,Male,Part-time: 16 to 30 hours worked,50-64,18223
Level 0,Male,Part-time: 16 to 30 hours worked,65>,3722
Level 0,Male,Full-time: 31 to 48 hours worked,16-24,5219
Level 0,Male,Full-time: 31 to 48 hours worked,25-34,21937
Level 0,Male,Full-time: 31 to 48 hours worked,35-49,41283
Level 0,Male,Full-time: 31 to 48 hours worked,50-64,43268
Level 0,Male,Full-time: 31 to 48 hours worked,65>,7175
Level 0,Male,Full-time: 49 or more hours worked,16-24,1222
Level 0,Male,Full-time: 49 or more hours worked,25-34,5429
Level 0,Male,Full-time: 49 or more hours worked,35-49,9297
Level 0,Male,Full-time: 49 or more hours worked,50-64,8665
Level 0,Male,Full-time: 49 or more hours worked,65>,1466
Level 1,Female,Part-time: 15 hours or less worked,16-24,1795
Level 1,Female,Part-time: 15 hours or less worked,25-34,3414
Level 1,Female,Part-time: 15 hours or less worked,35-49,7902
Level 1,Female,Part-time: 15 hours or less worked,50-64,8661
Level 1,Female,Part-time: 15 hours or less worked,65>,1946
Level 1,Female,Part-time: 16 to 30 hours worked,16-24,2347
Level 1,Female,Part-time: 16 to 30 hours worked,25-34,5742
Level 1,Female,Part-time: 16 to 30 hours worked,35-49,14886
Level 1,Female,Part-time: 16 to 30 hours worked,50-64,16633
Level 1,Female,Part-time: 16 to 30 hours worked,65>,2110
Level 1,Female,Full-time: 31 to 48 hours worked,16-24,3039
Level 1,Female,Full-time: 31 to 48 hours worked,25-34,7637
Level 1,Female,Full-time: 31 to 48 hours worked,35-49,15642
Level 1,Female,Full-time: 31 to 48 hours worked,50-64,25011
Level 1,Female,Full-time: 31 to 48 hours worked,65>,2015
Level 1,Female,Full-time: 49 or more hours worked,16-24,217
Level 1,Female,Full-time: 49 or more hours worked,25-34,633
Level 1,Female,Full-time: 49 or more hours worked,35-49,1384
Level 1,Female,Full-time: 49 or more hours worked,50-64,1796
Level 1,Female,Full-time: 49 or more hours worked,65>,184
Level 1,Male,Part-time: 15 hours or less worked,16-24,1952
Level 1,Male,Part-time: 15 hours or less worked,25-34,2481
Level 1,Male,Part-time: 15 hours or less worked,35-49,4540
